rand_point,2010,2014,2018,2022
0,0.7458,8.18116,1.21846,1.76582
1,0.01242,1.7889,1.13892,1.95114
2,0.00917,1.02082,1.13892,1.95114
3,1.36846,0.92329,0.84816,1.51493
4,1.26963,8.62568,1.96027,3.01572
5,3.9294,4.20601,3.33573,3.1901
6,-0.14933,0.12996,3.33573,-1.83533
7,-0.69674,-0.83561,3.33573,1.77855
8,2.10127,2.38344,1.55216,2.84268
9,0.05569,0.29631,0.7997,0.76383
10,2.23211,2.88487,2.20405,3.16113
11,0.01086,8.62978,1.56844,2.55332
12,-0.81876,-1.57126,1.56844,2.55332
13,0.01085,7.85898,1.57678,2.51348
14,0.62806,0.89679,1.36511,2.04873
15,0.86379,8.34181,1.61488,2.50945
16,0.61891,7.675,1.14948,1.77504
17,0.88271,7.94336,1.62934,2.061
18,0.81906,2.98332,2.14986,2.98128
19,0.73738,8.16809,1.2512,1.78356
20,-1.13966,-0.3674,1.2512,1.78356
21,-1.63907,0.93817,1.2512,0.06518
22,-1.71324,0.87383,1.2512,-2.76903
23,-2.33844,1.49326,1.47532,1.44972
24,3.90483,0.63917,0.42582,1.28631
25,-2.28915,1.05882,0.42582,1.28631
26,-1.21463,-1.25136,0.42582,-0.51822
27,0.04346,1.11888,0.28531,0.68115
28,-4.75958,-0.69256,0.28531,0.68115
29,-1.84718,1.1691,0.28531,0.68115
30,-0.74618,-0.49006,0.28531,0.68115
31,0.70431,1.76364,0.70438,-0.38376
32,-3.94303,-2.18478,0.70438,-2.49725
33,0.7068,-1.02077,0.70438,-2.49725
34,1.38354,-2.26248,0.70438,-2.49725
35,1.31689,2.75997,0.70438,1.43275
36,-1.36552,0.40926,-0.13447,0.54032
37,4.28492,1.05709,0.93957,1.20056
38,-2.32678,0.25636,-0.60994,0.66414
39,-2.95021,-0.08566,-1.15765,-3.71197
40,-0.80333,-0.93092,0.64789,0.0153
41,3.93726,2.86295,2.00837,1.70843
42,4.80449,2.24229,2.68647,2.66148
43,4.74268,2.16859,1.86473,2.70877
44,4.54555,1.13435,2.35899,2.56091
45,3.87497,1.72543,1.82305,1.54453
46,-2.01909,1.37912,1.8962,2.51843
47,1.52085,3.68913,2.09658,2.44142
48,4.12056,2.26266,1.28667,1.98089
49,0.77635,2.58241,1.78092,1.95835
50,4.65104,1.39005,2.62722,3.38702
51,3.92831,2.48083,1.76429,1.73115
52,2.8469,2.79514,1.71642,2.34931
53,3.34644,2.59687,2.21522,2.52788
54,5.34735,2.18677,2.21522,2.64069
55,4.72683,2.18609,2.35058,3.03176
56,3.93726,2.86295,2.00837,1.70843
57,5.03158,1.01424,2.2848,2.04386
58,3.67666,2.19094,2.06198,2.0684
59,4.58959,2.53351,2.46593,3.29643
60,-2.132,2.12489,1.2105,1.80364
61,-4.85731,-2.27213,1.2105,1.80364
62,-0.75576,1.32888,1.34946,1.0165
63,-1.20271,2.81514,1.89683,2.68478
64,0.8175,1.10478,1.62055,2.29693
65,-1.57718,1.32838,1.18806,0.27861
66,-1.86426,1.75149,1.21597,1.6919
67,0.8175,1.4877,1.63126,2.39323
68,-3.66381,1.11856,0.63024,1.20905
69,0.76323,2.58621,1.77161,2.42989
70,-2.28797,1.23354,1.01113,1.52957
71,-3.51642,-0.74354,1.01113,1.52957
72,-2.8859,0.367,0.7667,0.88538
73,-3.47182,0.81461,0.44209,1.05427
